cluster_id,visit_id,score,engagement_score,url_for_deduping,normalized_url,url_for_display
11,24,1,12,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8
11,25,1,12,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8
11,26,0.49936333298683167,0,https://web.telegram.org/,https://web.telegram.org/,web.telegram.org
11,27,1,0,https://web.telegram.org/,https://web.telegram.org/z/,web.telegram.org/z/
11,28,1,0,https://web.telegram.org/,https://web.telegram.org/a/,web.telegram.org/a/
11,29,1,0,https://web.telegram.org/,https://web.telegram.org/a/#6260199159,web.telegram.org/a/#6260199159
11,30,0,0,https://web.telegram.org/,https://web.telegram.org/a/#1774449695,web.telegram.org/a/#1774449695
12,31,1,14.552409172058105,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8
12,32,1,14.552409172058105,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,https://www.google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8,google.com/search?q=web+telegram&rlz=1C1ONGR_enSA1066SA1066&sourceid=chrome&ie=UTF-8
12,33,1,3.195244789123535,https://web.telegram.org/,https://web.telegram.org/,web.telegram.org
12,34,1,3.195244789123535,https://web.telegram.org/,https://web.telegram.org/z/,web.telegram.org/z/
12,35,1,3.195244789123535,https://web.telegram.org/,https://web.telegram.org/a/,web.telegram.org/a/
